train,test,space,balanced_accuracy,f1_macro,recall_macro,specificity_macro,roc_auc,cm
A,A,latent,0.9984521324460349,0.9989483278619997,0.9984521324460349,0.9998076658914533,0.9999954259710048,"[[295   0   0   0   0   1]
 [  0 239   1   0   0   0]
 [  0   0 998   0   0   0]
 [  0   0   1 573   0   0]
 [  0   0   0   0 655   0]
 [  0   0   0   0   0 760]]"
A,B,latent,1.0,1.0,1.0,1.0,1.0,"[[19  0  0  0  0  0]
 [ 0  9  0  0  0  0]
 [ 0  0 43  0  0  0]
 [ 0  0  0 31  0  0]
 [ 0  0  0  0 28  0]
 [ 0  0  0  0  0 70]]"
A,C,latent,0.9934433907036647,0.9957948069509935,0.9934433907036647,0.9990476190476191,1.0,"[[ 38   0   1   0   0   0]
 [  0  19   0   0   0   0]
 [  0   0 186   0   0   0]
 [  0   0   1  72   0   0]
 [  0   0   0   0  71   0]
 [  0   0   0   0   0 148]]"
A,MARISMA,latent,0.9888982563105536,0.9692851552258689,0.9888982563105536,0.9992523236460343,0.9998572004039641,"[[  19    0    1    0    0    0]
 [   0  180    1    0    0    0]
 [   0    1  316    0    0    0]
 [   6    0    7 3159    0    2]
 [   0    0    1    0  311    0]
 [   0    0    0    0    0  469]]"
A,RKI,latent,1.0,1.0,1.0,1.0,1.0,"[[ 9  0  0  0  0  0]
 [ 0 72  0  0  0  0]
 [ 0  0 12  0  0  0]
 [ 0  0  0  2  0  0]
 [ 0  0  0  0 12  0]
 [ 0  0  0  0  0 46]]"
A,D (OOD),latent,0.9099589381810734,0.8336062347651501,0.9099589381810734,0.9816971146263236,0.99438603144017,"[[ 436    0    0    1    0    0]
 [   0  169    1    0    0    1]
 [ 190  162 1403   24   71  148]
 [   1    2    1 2147    0    0]
 [   9   27    7    0  267   34]
 [   3    1    1    0    1 2162]]"
A,MSUMG (OOD),latent,0.7946561585967945,0.8253287325775759,0.7946561585967945,0.9693639429128189,0.9860044376461351,"[[  745     0   863     0     2     0]
 [    0  1386   725     0     3     1]
 [    1     1 11037     2     0     0]
 [    0     1   235  2932     1     0]
 [    1     2   187     0  3457     0]
 [    1  1007   484     0     3  5213]]"
B,A,latent,0.9966527221721785,0.9951682274970488,0.9966527221721785,0.9992958758765379,0.9999822774399304,"[[296   0   0   0   0   0]
 [  0 239   1   0   0   0]
 [  3   1 993   1   0   0]
 [  1   0   1 572   0   0]
 [  4   0   0   0 651   0]
 [  1   0   0   0   0 759]]"
B,B,latent,0.9961240310077519,0.9937657114127703,0.9961240310077519,0.9990791896869246,1.0,"[[19  0  0  0  0  0]
 [ 0  9  0  0  0  0]
 [ 1  0 42  0  0  0]
 [ 0  0  0 31  0  0]
 [ 0  0  0  0 28  0]
 [ 0  0  0  0  0 70]]"
B,C,latent,0.9939343810311553,0.9932449999835445,0.9939343810311553,0.9988284929157377,0.9999802426358538,"[[ 38   0   1   0   0   0]
 [  0  19   0   0   0   0]
 [  1   0 184   1   0   0]
 [  0   0   0  73   0   0]
 [  0   0   0   0  71   0]
 [  0   0   0   0   0 148]]"
B,MARISMA,latent,0.9857631520263256,0.9359825424201859,0.9857631520263256,0.9987241352388879,0.9997808662989051,"[[  19    0    1    0    0    0]
 [   1  180    0    0    0    0]
 [   0    1  315    0    0    1]
 [  16    0    6 3150    0    2]
 [   2    0    3    0  307    0]
 [   0    0    0    0    0  469]]"
B,RKI,latent,0.9976851851851851,0.9921678321678321,0.9976851851851851,0.9988179669030733,1.0,"[[ 9  0  0  0  0  0]
 [ 0 71  1  0  0  0]
 [ 0  0 12  0  0  0]
 [ 0  0  0  2  0  0]
 [ 0  0  0  0 12  0]
 [ 0  0  0  0  0 46]]"
B,D (OOD),latent,0.9083610177152884,0.8553351235641772,0.9083610177152884,0.9814628454097841,0.9935032222366235,"[[ 436    0    0    1    0    0]
 [   1  168    1    0    0    1]
 [ 245   89 1432   12    3  217]
 [  10    1    1 2139    0    0]
 [  14   23    7    0  262   38]
 [   4    1    1    0    0 2162]]"
B,MSUMG (OOD),latent,0.5629530143455251,0.5996025138607323,0.5629530143455251,0.937835344781254,0.9677357090581071,"[[  218     0  1392     0     0     0]
 [    0   136  1977     0     0     2]
 [    1     0 11039     1     0     0]
 [    5     0  1812  1350     1     1]
 [    1     1   494     0  3151     0]
 [    0     0   749     0     1  5958]]"
C,A,latent,0.9967915498892307,0.9957155676418529,0.9967915498892307,0.9994000519724625,0.9999736834680236,"[[296   0   0   0   0   0]
 [  0 239   1   0   0   0]
 [  1   0 996   1   0   0]
 [  4   0   1 569   0   0]
 [  0   2   0   0 653   0]
 [  1   0   0   0   0 759]]"
C,B,latent,0.9961240310077519,0.9937657114127703,0.9961240310077519,0.9990791896869246,1.0,"[[19  0  0  0  0  0]
 [ 0  9  0  0  0  0]
 [ 1  0 42  0  0  0]
 [ 0  0  0 31  0  0]
 [ 0  0  0  0 28  0]
 [ 0  0  0  0  0 70]]"
C,C,latent,0.9957264957264957,0.9973886703109223,0.9957264957264957,0.9995238095238096,0.9999372496351143,"[[ 38   0   1   0   0   0]
 [  0  19   0   0   0   0]
 [  0   0 186   0   0   0]
 [  0   0   0  73   0   0]
 [  0   0   0   0  71   0]
 [  0   0   0   0   0 148]]"
C,MARISMA,latent,0.9754700981903093,0.9023350696917382,0.9754700981903093,0.9972482307421661,0.9993299848492594,"[[  18    0    2    0    0    0]
 [   0  180    1    0    0    0]
 [   0    0  317    0    0    0]
 [  34    0   25 3113    0    2]
 [   0    6    1    0  305    0]
 [   0    0    0    0    0  469]]"
C,RKI,latent,1.0,1.0,1.0,1.0,1.0,"[[ 9  0  0  0  0  0]
 [ 0 72  0  0  0  0]
 [ 0  0 12  0  0  0]
 [ 0  0  0  2  0  0]
 [ 0  0  0  0 12  0]
 [ 0  0  0  0  0 46]]"
C,D (OOD),latent,0.9137150540918761,0.8477016029606651,0.9137150540918761,0.9836326707711414,0.9926802557617904,"[[ 435    0    2    0    0    0]
 [   1  169    0    0    0    1]
 [ 142  170 1555   11    3  117]
 [  75    2    3 2071    0    0]
 [  10   27   20    0  262   25]
 [   4    2    3    0    0 2159]]"
C,MSUMG (OOD),latent,0.47229210739188615,0.4473946246214431,0.47229210739188615,0.9114464380748112,0.9666879705136183,"[[   40     5  1565     0     0     0]
 [    0  1774   341     0     0     0]
 [    1     7 11033     0     0     0]
 [    2     0  2920   246     1     0]
 [    0  2489   186     0   972     0]
 [    0     5  2498     0     1  4204]]"
MARISMA,A,latent,0.9907818745127509,0.9912652825180835,0.9907818745127509,0.9985325845846994,0.9999144704443461,"[[284   0   0  12   0   0]
 [  0 240   0   0   0   0]
 [  0   2 985  11   0   0]
 [  0   0   1 573   0   0]
 [  0   0   0   0 655   0]
 [  0   0   0   0   0 760]]"
MARISMA,B,latent,0.9834761321909425,0.9838349338349338,0.9834761321909425,0.9970414201183432,0.9999030725986237,"[[18  0  0  1  0  0]
 [ 0  9  0  0  0  0]
 [ 0  0 41  2  0  0]
 [ 0  0  0 31  0  0]
 [ 0  0  0  0 28  0]
 [ 0  0  0  0  0 70]]"
MARISMA,C,latent,0.9930383236834851,0.9920360398409178,0.9930383236834851,0.9985601151907847,0.9999914013998521,"[[ 38   0   0   1   0   0]
 [  0  19   0   0   0   0]
 [  0   0 183   3   0   0]
 [  0   0   0  73   0   0]
 [  0   0   0   0  71   0]
 [  0   0   0   0   0 148]]"
MARISMA,MARISMA,latent,0.996934257050213,0.9783707762156361,0.996934257050213,0.9993123883999621,0.9998735167033543,"[[  20    0    0    0    0    0]
 [   0  181    0    0    0    0]
 [   0    1  314    0    1    1]
 [   5    0    1 3166    0    2]
 [   0    0    0    2  310    0]
 [   0    0    0    0    0  469]]"
MARISMA,RKI,latent,0.9814814814814815,0.9568627450980393,0.9814814814814815,0.9988962472406181,1.0,"[[ 8  0  0  1  0  0]
 [ 0 72  0  0  0  0]
 [ 0  0 12  0  0  0]
 [ 0  0  0  2  0  0]
 [ 0  0  0  0 12  0]
 [ 0  0  0  0  0 46]]"
MARISMA,D (OOD),latent,0.8987978406599889,0.8466471868538906,0.8987978406599889,0.9772081020454269,0.9942657441646058,"[[ 426    0    0   11    0    0]
 [   0  169    0    0    0    2]
 [ 160  111 1314   52   10  351]
 [   1    2    0 2147    0    1]
 [   6   27    2    0  267   42]
 [   1    2    0    2    0 2163]]"
MARISMA,MSUMG (OOD),latent,0.7870052759839342,0.797918989263447,0.7870052759839342,0.9774285206612471,0.9859548075983516,"[[  498     0     2  1109     1     0]
 [    1  1326   122   645     0    21]
 [    1     2 10160   875     0     3]
 [    0     0     0  3167     1     1]
 [    1     2     1   401  3240     2]
 [    0     0     2   146     1  6559]]"
RKI,A,latent,0.9928446778929607,0.9895139987289454,0.9928446778929607,0.9985076203941737,0.9998726081562724,"[[296   0   0   0   0   0]
 [  0 239   1   0   0   0]
 [  4   1 990   2   0   1]
 [ 11   0   1 562   0   0]
 [  3   0   0   0 652   0]
 [  4   0   0   0   0 756]]"
RKI,B,latent,0.9907476869217304,0.9883893673267488,0.9907476869217304,0.998092996393039,0.9999681873131004,"[[19  0  0  0  0  0]
 [ 0  9  0  0  0  0]
 [ 0  0 42  1  0  0]
 [ 1  0  0 30  0  0]
 [ 0  0  0  0 28  0]
 [ 0  0  0  0  0 70]]"
RKI,C,latent,0.9876884175381745,0.9846192706408269,0.9876884175381745,0.9977062374245472,0.9999897593445981,"[[ 39   0   0   0   0   0]
 [  0  19   0   0   0   0]
 [  1   0 185   0   0   0]
 [  3   0   2  68   0   0]
 [  0   0   0   0  71   0]
 [  0   0   0   0   0 148]]"
RKI,MARISMA,latent,0.9871370277035884,0.8610246166363816,0.9871370277035884,0.9944290824571289,0.9989874079966219,"[[  20    0    0    0    0    0]
 [   1  179    1    0    0    0]
 [   0    2  315    0    0    0]
 [ 133    0    4 3035    0    2]
 [   2    2    0    0  307    1]
 [   0    0    0    0    0  469]]"
RKI,RKI,latent,1.0,1.0,1.0,1.0,1.0,"[[ 9  0  0  0  0  0]
 [ 0 72  0  0  0  0]
 [ 0  0 12  0  0  0]
 [ 0  0  0  2  0  0]
 [ 0  0  0  0 12  0]
 [ 0  0  0  0  0 46]]"
RKI,D (OOD),latent,0.8885744024928108,0.8145312020259329,0.8885744024928108,0.9758493815069326,0.9776874947207735,"[[ 437    0    0    0    0    0]
 [   1  169    0    0    0    1]
 [ 431   96 1316   15    5  135]
 [ 156    2    0 1993    0    0]
 [  27   22    2    0  262   31]
 [   5    2    0    1    0 2160]]"
RKI,MSUMG (OOD),latent,0.5432808299048159,0.448778791586869,0.5432808299048159,0.911016609535674,0.9394597332547096,"[[ 545  995    0    0    0   70]
 [   0 1652    1    0    0  462]
 [   7 8346 2254    0    0  434]
 [2544  402    3   12    1  207]
 [   2   19    1    0 3405  220]
 [   0    9    0    0    1 6698]]"
